"Matrix column","Category","Meaning","How the system/planner should decide","Notes"
"Denial category","multiple platform authorization categories","Shared row covers several denial categories.","Use for denial contracts/evaluators rather than a single route behavior.",""
"Denial category","not-applicable","No runtime denial category applies.","Use for artifact-only rows.",""
"Authz audit posture","none","No authorization audit is required.","Use for non-runtime or non-sensitive rows.",""
"Authz audit posture","deny-only","Denied decisions are auditable; allows are not normally audited.","Use when denied attempts matter but allowed actions are routine.",""
"Authz audit posture","sensitive-allow-and-deny","Sensitive allows and denials must be audited.","Use for permissions, tenant boundary, lifecycle, mutation, export, support, and security-sensitive reads.",""
"Authz audit posture","all-decisions","Every decision should be auditable.","Use for central authz proof/audit infrastructure or very high-sensitivity controls.",""
"Authz audit posture","support-emergency","Special support/emergency audit posture applies.","Use for break-glass/support/emergency operator controls.",""
"Evaluator layers","Ordered layer list","Ordered decision layers such as authn; tenant-boundary; lifecycle; feature-config; rbac; object-rule; proof.","List the layers actually needed to decide allow/deny for this capability.","Semicolon-separated controlled list."
"Evaluator layers","artifact-sweep; standards-gate","Artifact and standards review rather than runtime authz evaluation.","Use for governance rows.",""
"Object rule required","none","No per-object authorization rule required.","Use when capability-level permission is sufficient or no object exists.",""
"Object rule required","current-tenant-entity","Object must belong to the current tenant context.","Use for tenant-scoped entity access.",""
"Object rule required","entity-owner","Actor/entity ownership or parent relationship matters.","Use when object ownership, parentage, or owning record must be checked.",""
"Object rule required","feature-owned-rule","Feature defines a custom object authorization rule.","Use when the domain owns access logic beyond generic tenant/owner checks.",""
"Object rule required","future","Object rule is expected but not yet implemented or selected.","Use for route-family planning rows.",""
"ABAC/ReBAC extension","none","No attribute-based or relationship-based authorization extension is needed.","Use for simple capability/RBAC checks.",""
"ABAC/ReBAC extension","typed-extension-only","A typed extension point is needed, but full ABAC/ReBAC is not implemented.","Use when future attributes/relationships may influence decisions.",""
"ABAC/ReBAC extension","implemented","ABAC/ReBAC logic exists and is enforced.","Use only when implemented and tested.",""
"ABAC/ReBAC extension","blocked","Cannot safely proceed without ABAC/ReBAC design.","Use when required relationship/attribute rules are unresolved.",""
"Compatibility posture","backwards-compatible","Change preserves existing contracts and behavior.","Use when callers/routes/data remain compatible.",""
"Compatibility posture","migration-required","Compatibility depends on a migration or transition plan.","Use for schema, permission, route, lifecycle, or data model changes requiring migration.",""
"Compatibility posture","breaking-blocked","Requested/possible change would be breaking and must not proceed silently.","Use until a compatibility plan is approved.",""
"Compatibility posture","new-capability","Adds a new capability without changing existing behavior.","Use for additive new rows.",""
"Background job authority","not-applicable","No background job authority involved.","Use for synchronous/API/UI/artifact-only rows.",""
"Background job authority","system-job","System-owned job may perform the work.","Use for scheduled cleanup, audit sinks, background processing, or system automation.",""
"Background job authority","delegated-user","Job acts under a user-delegated authority.","Use when a user's original authority must be preserved and revalidated.",""
"Background job authority","tenant-scoped-job","Job acts inside exactly one tenant context.","Use for tenant export/import/cleanup/reporting jobs.",""
"Frontend required","yes","Frontend surface is required for this capability.","Use for visible app, page, workflow, or design-system behavior.",""
"Frontend required","no","No frontend surface is required.","Use for backend-only, contract-only, or artifact-only rows.",""
"Frontend required","conditional","Frontend may be required depending on later scope.","Use for backend foundation rows enabling later UI.",""
"Frontend required","blocked","Frontend is desired but currently not allowed.","Use when runtime enforcement, design-system signoff, or adoption seam is missing.",""
"Route family","Route family name","Logical backend/frontend route group.","Use the family that owns the canonical route or future route.","Controlled name."
"Product module","Product module name","Product/navigation area or business module.","Use the product module users would recognize for the work.","Controlled name."
"Journey group","Journey group name","Workflow or journey grouping.","Use the journey or planning group that the row supports.","Controlled name."
"Route visibility","public","Unauthenticated/public route or page.","Use only for public-safe surfaces.",""
"Route visibility","protected","Authenticated route or page.","Use for normal root/tenant app and API routes.",""
"Route visibility","internal","Internal-only route/seam.","Use for platform/private interfaces not exposed to normal users.",""
"Route visibility","support-only","Support/operator-only route.","Use for support surfaces separate from normal product topology.",""
"Route visibility","not-applicable","No route or route visibility applies.","Use for artifact-only/internal non-route rows.",""
"Actor scope","rootAdmin","Surface/action is scoped to root admin actors.","Use for root-admin pages or APIs.","Controlled label."
"Actor scope","tenantAdmin","Surface/action is scoped to tenant admin actors.","Use for tenant-admin pages or APIs.",""
"Actor scope","tenant","Surface/action is scoped to tenant actors generally.","Use when not tied to one named tenant role.",""
"Actor scope","internal consumer","Internal feature/platform consumer.","Use for feature-public seams.",""
"Actor scope","not-applicable","No actor-visible surface.","Use for artifact or no-route rows.",""
"Runtime shape","api-route","HTTP/API route behavior.","Use for backend endpoints.",""
"Runtime shape","app-page","Browser-rendered application page.","Use for durable frontend pages.",""
"Runtime shape","feature-public-seam","Internal exported feature API/seam.","Use for cross-feature integration without direct persistence imports.",""
"Runtime shape","background-job","Durable async/scheduled job.","Use for job processing, cleanup, export, or retryable work.",""
"Runtime shape","projection","Read/projection payload or materialized view shape.","Use when behavior is a read model rather than command route.",""
"Runtime shape","not-applicable","No runtime surface.","Use for docs/governance-only rows.",""
"Surface class","management-surface","Admin or management UI/API surface.","Use for configuration, account, catalogue, and operational management.",""
"Surface class","settings-surface","Settings/configuration surface.","Use for account/settings/configuration workflows.",""
"Surface class","reporting-surface","Reporting/export/dashboard surface.","Use for reports, exports, dashboards, or analytics views.",""
"Surface class","not-rendered","No rendered UI.","Use for backend/internal rows.",""
"Surface class","not-applicable","No surface exists.","Use for pure artifact rows.",""
"Topology class","durable-page","Approved stable product route/page.","Use when the page is canonical and deep-linkable.",""
"Topology class","durable-page-candidate","Likely future durable product place.","Use when UI is planned but topology is not yet fully approved/materialized.",""
"Topology class","journey-local-state","Transient workflow state rather than a durable route.","Use for wizard steps, modal state, filters, or temporary UI state unless explicitly promoted.",""
"Topology class","support-only-route","Support or technical route not normal product topology.","Use for support/operator diagnostics or maintenance routes.",""
"Topology class","not-topology","Not part of frontend topology.","Use for backend, internal seams, and artifact rows.",""
"Locator type","path","Canonical URL path locator.","Use for durable product routes and new root-admin suite destinations.",""
"Locator type","hash","Hash URL locator.","Use only for legacy compatibility or explicitly approved hash-backed surfaces.",""
"Locator type","command","Command/job/support locator rather than URL route.","Use for CLI/support commands or jobs if relevant.",""
"Locator type","none","No locator exists.","Use for artifact-only/internal rows.",""
"Topology authority","manual-shell-registry","Manually maintained shell/navigation route registry owns this route.","Use before topology materialization owns the route.",""
"Topology authority","curated-topology","Curated topology model owns the route/source of truth.","Use when generated preview/apply topology governs it.",""
"Topology authority","feature-owned","Feature-local configuration owns it.","Use when a feature-owned seam, not global topology, governs state/routing.",""
"Topology authority","not-applicable","No topology authority applies.","Use for backend/internal/artifact rows.",""
"State owner","feature-local-state-machine","Feature owns journey or UI state semantics.","Use for feature-specific workflows.",""
"State owner","backend","Server/domain owns durable state.","Use for entities, jobs, lifecycle, audit, persistence-backed state.",""
"State owner","frontend","Browser owns local transient UI state.","Use for ephemeral UI state only.",""
"State owner","job-processing","Job processor owns execution state.","Use for queued/scheduled/retryable work.",""
"State owner","not-applicable","No state owner applies.","Use for static/artifact rows.",""
"Shell governance","DS-owned-shell-required","Design-system-owned shell/page framing is required.","Use for governed app pages or shared shell chrome.",""
"Shell governance","not-governed","No shell governance applies.","Use for backend/internal rows or approved one-off exceptions.",""
"Shell governance","exception-approved","A one-off/pre-signoff app UI exception is explicitly approved.","Use only when the user/governance has approved the exception.",""
"Design-system prerequisite","required before app UI","Design-system signoff/adoption seam required before real app UI.","Use for governed app UI, shell chrome, navigation, drawers, dialogs, shared controls, and page chrome.",""
"Design-system prerequisite","none","No design-system prerequisite applies.","Use for backend, internal, or artifact-only rows.",""
"Design-system prerequisite","exception-approved","Design-system prerequisite intentionally bypassed for this surface.","Use only with explicit approval and documented exception.",""
"Materialization model","manual","Human-maintained source/route/artifact.","Use when no generated preview/apply seam owns the surface.",""
"Materialization model","feature route registration","Feature route mounting/registration owns the runtime integration.","Use for API/feature route integration.",""
"Materialization model","preview/apply","Deterministic generated preview/apply seam owns materialization.","Use for governed topology/materialization outputs.",""
"Materialization model","not-applicable","No materialization model applies.","Use for non-runtime or docs-only rows.",""
"Source placement","Repo path/pattern","Where code or artifacts should live.","Use the repo-standard path for the owning feature/artifact.","Controlled path; usually free text but should follow repo layout."
"Frontend implementation readiness","ready","Frontend work may proceed.","Use only when design-system, runtime, and topology prerequisites are satisfied.",""
"Frontend implementation readiness","blocked","Frontend work must not proceed yet.","Use when prerequisites are missing or UI exposure is unsafe.",""
"Frontend implementation readiness","not-applicable","No frontend implementation exists for this row.","Use for backend/artifact rows.",""
"Data dictionary required","yes","Data dictionary must be created or updated.","Use when durable entities, fields, storage meaning, or data classification changes.",""
"Data dictionary required","no","No data dictionary update required.","Use when no durable data truth changes.",""
"Data dictionary required","conditional","Depends on selected storage/entity design.","Use for planning rows or future route families with unresolved persistence.",""
"Data dictionary required","blocked","Needed but cannot be completed until a prerequisite decision exists.","Use when storage/data model is unresolved but required.",""
"API contract required","yes","API contract docs must be created or updated.","Use when route contract, request/response/error behavior, or authz contract changes.",""
"API contract required","no","No API contract update required.","Use when no API contract changes.",""
"API contract required","conditional","Depends on later route-family adoption.","Use for shared/platform planning rows.",""
"API contract required","blocked","API contract needed but route/behavior decision is unresolved.","Use when implementation cannot proceed without contract clarity.",""
"Permission mapping required","yes","Permission/authz mapping must be updated.","Use when authz capability, grant, route permission, or enforcement posture changes.",""
"Permission mapping required","no","No permission mapping update required.","Use when no permissions are affected.",""
"Permission mapping required","conditional","Depends on future authz route/adoption.","Use for planning rows.",""
"Permission mapping required","blocked","Mapping required but grant/key model is unresolved.","Use when permission design blocks work.",""
"Asset decision required","yes","Asset consumer decision record is required.","Use when uploading, reading, linking, rendering, downloading, replacing, deleting, or publishing user-managed assets.",""
"Asset decision required","no","No asset decision required.","Use when no user-managed asset behavior exists.",""
"Asset decision required","conditional","Depends on chosen delivery/storage/export approach.","Use for exports/downloads or future asset delivery choices.",""
"Asset decision required","blocked","Asset decision required before work can proceed.","Use when asset behavior is in scope but unapproved.",""
"Job/cleanup decision required","yes","Cleanup/job lifecycle decision must be documented.","Use for expiring, abandoned, retryable, async, external-resource, cleanup, export, or scheduled behavior.",""
"Job/cleanup decision required","no","No cleanup/job decision required.","Use when no durable cleanup or async lifecycle exists.",""
"Job/cleanup decision required","conditional","Depends on route/storage/provider choice.","Use for future exports, provider sync, or optional async work.",""
"Job/cleanup decision required","blocked","Needed but lifecycle/job model is unresolved.","Use when cleanup model blocks implementation.",""
"Compliance gate required","yes","Compliance/security/privacy standards gate required.","Use for permission-sensitive, personal-data, security, audit, export, asset, or compliance-impacting work.",""
"Compliance gate required","no","No compliance gate required.","Use only for low-risk/internal non-sensitive rows.",""
"Compliance gate required","conditional","Depends on selected implementation/data exposure.","Use for future planning rows.",""
"Feature manifest required","yes","Feature manifest must be updated or checked.","Use when public seams, dependencies, or breaking-risk notes change.",""
"Feature manifest required","no","No feature manifest impact.","Use when no feature seam/dependency changes.",""
"Feature manifest required","conditional","Depends on whether implementation changes feature seams/dependencies.","Use for planning rows.",""
"Runbook required","yes","Operational runbook must be created or updated.","Use for operational jobs, support/emergency behavior, cleanup, external providers, exports, or recovery.",""
"Runbook required","no","No runbook required.","Use for simple local behavior with no operational procedure.",""
"Runbook required","conditional","Depends on selected operational model.","Use for future async/provider/support work.",""
"Generated artifact update required","yes","Generated artifacts must be refreshed.","Use when manifests, dependency graph, catalog exports, Postman, OpenAPI, or generated docs are affected.",""
"Generated artifact update required","no","No generated artifact update required.","Use when generated sources remain unchanged.",""
"Generated artifact update required","conditional","Depends on implementation path.","Use for planning rows or future route families.",""
"API required","Yes","An API endpoint/contract is required.","Use for runtime route capabilities.",""
"API required","No","No API endpoint is required.","Use for docs-only, internal-only, or frontend-only rows.",""
"API required","Conditional","API need depends on later implementation choice.","Use for future UI or route-family planning rows.",""
"Persistence impact","None","No storage impact.","Use for docs, static contracts, and route-only behavior with no persistence.",""
"Persistence impact","Read existing storage","Reads existing tables/entities only.","Use for read paths with no schema/mutation impact.",""
"Persistence impact","Mutate existing storage","Writes existing tables/entities.","Use for create/update/delete/lifecycle changes without schema change.",""
"Persistence impact","Schema-changing","New/changed tables, fields, indexes, migrations, or durable entities.","Use when migration/data dictionary/index work is required.",""
"Persistence impact","Depends on selected storage","Storage design is unresolved.","Use for planning rows where implementation must choose a storage posture.",""
"Migration required?","Yes","Database migration required.","Use for new/changed schema, indexes, constraints, seed/corrective permission changes, or durable state changes.",""
"Migration required?","No","No database migration required.","Use when schema/storage remains unchanged.",""
"Migration required?","Conditional","Migration need depends on selected implementation/storage.","Use for planning rows.",""
"Migration required?","Maybe","Migration is likely but not yet decided.","Use sparingly when planning has not selected storage.","Prefer Conditional for governed matrices."
"Authentication requirement","Authenticated root session","Requires a valid root/admin session.","Use for root-admin/operator actions.",""
"Authentication requirement","Authenticated tenant session","Requires a valid tenant-scoped session.","Use for tenant-scoped actions.",""
"Authentication requirement","Authenticated actor as route requires","Authentication depends on adopting route family.","Use for shared contracts/evaluator rows.",""
"Authentication requirement","Public/unauthenticated allowed","No authentication required for this public-safe route.","Use only when explicitly safe and approved.",""
"Authentication requirement","not-applicable","No runtime authn applies.","Use for docs/artifact rows.",""
"Authorization enforcement layer","root session middleware","Existing root middleware enforces base authz.","Use for root routes using root capability middleware.",""
"Authorization enforcement layer","tenant capability evaluator","Tenant evaluator/enforcer decides authorization.","Use for tenant-scoped runtime authorization.",""
"Authorization enforcement layer","central evaluator","Shared platform evaluator decides allow/deny.","Use for central authz model rows.",""
"Authorization enforcement layer","domain service","Feature/domain logic enforces business/object rules.","Use when route middleware alone is insufficient.",""
"Authorization enforcement layer","object rule","Per-object ownership/current-tenant/entity rule required.","Use when object-level checks decide access.",""
"Authorization enforcement layer","repo standards and feature loop completion gate","Standards/artifact process enforces completion.","Use for governance/artifact rows.",""
"Audit requirement","none","No audit required.","Use for non-sensitive non-runtime rows.",""
"Audit requirement","deny audit","Denied sensitive attempts must be audited.","Use for sensitive route denial paths.",""
"Audit requirement","mutation audit","Successful mutations and relevant denials must be audited.","Use for create/update/delete/lifecycle changes.",""
"Audit requirement","sensitive allow/deny audit","Sensitive allows and denials must be audited.","Use for permissions, exports, support, lifecycle, tenant boundary, and security-sensitive reads.",""
"Audit requirement","audit proof storage","Durable audit/proof record required.","Use for central authz proof, grants, jobs, or compliance evidence.",""
"Privacy / personal data impact","No direct product data impact","No personal/customer data touched.","Use for artifact/governance-only rows.",""
"Privacy / personal data impact","No personal data expected","No PII, but internal/catalog data may be exposed.","Use for system catalogues/reference data.",""
"Privacy / personal data impact","PII-adjacent identity metadata","Actor IDs, tenant IDs, grant metadata, or account linkage.","Use for authz/session/audit identity rows.",""
"Privacy / personal data impact","personal data","Direct personal information such as name/email/profile/contact data.","Use when user/customer personal information is handled.",""
"Privacy / personal data impact","sensitive customer data","High-risk customer, billing, export, support, or operational data.","Use for exports, billing/payment-adjacent, support/emergency, or sensitive logs.",""
"Data classification / PII posture","Governance metadata only","Planning/control metadata only.","Use for artifact rows.",""
"Data classification / PII posture","internal system catalogue metadata","Internal controlled vocabulary/catalogue data.","Use for system-owned reference catalogues.",""
"Data classification / PII posture","confidential tenant organization metadata","Tenant/customer organizational metadata.","Use for tenant organization or customer business records.",""
"Data classification / PII posture","PII-adjacent identity and security metadata","Identity/grant/session/security metadata related to actors.","Use for authz, grant, audit, and account authority rows.",""
"Data classification / PII posture","Sensitive security/compliance metadata","Security proof, denial details, lifecycle/compliance evidence.","Use for central authz proof, audit, support, emergency, deletion, or compliance-sensitive rows.",""
"PRD required?","Yes","PRD required or must be updated.","Use for material product/runtime capabilities.",""
"PRD required?","No","No PRD required.","Use for small governed artifacts only when standards permit.",""
"PRD required?","Conditional","Depends on whether scope becomes material product/runtime work.","Use for planning/future rows.",""
"ADR required?","Yes","Architecture decision record required or must be updated.","Use for enduring architecture choices, route models, security models, storage strategy, or cross-cutting behavior.",""
"ADR required?","No","No ADR required.","Use when existing architecture decisions cover the change.",""
"ADR required?","Conditional","Depends on whether implementation introduces enduring architecture or compatibility decisions.","Use for planning rows.",""
"Test-case doc required?","Yes","PRD-derived test-case doc required or must be updated.","Use for material backend/frontend/security/persistence work.",""
"Test-case doc required?","No","No test-case doc required.","Use only for narrow non-material/docs work.",""
"Test-case doc required?","Conditional","Depends on final implementation scope.","Use for planning/future route families.",""
"Feature docs update required?","Yes","Feature docs must be updated.","Use when user/developer visible feature truth changes.",""
"Feature docs update required?","No","No feature docs update required.","Use when docs truth does not change.",""
"Feature docs update required?","Conditional","Depends on implementation slice.","Use for planning rows.",""
"Standards review required?","Yes","Standards/compliance review required.","Use for AI-assisted, security, privacy, authz, persistence, asset, job, or material feature changes.",""
"Standards review required?","No","No standards review required.","Use only for low-risk non-material changes.",""
"Traceability status","first draft","Traceability exists only as first-pass planning.","Use for initial matrices.",""
"Traceability status","partial","Some source-to-test/artifact links exist but gaps remain.","Use when not all downstream artifacts are aligned.",""
"Traceability status","complete","Source, capability, implementation, tests, and evidence are fully linked.","Use only after artifact sweep and verification.",""
"Traceability status","superseded","Row is replaced by newer source truth.","Use for historical rows retained for context.",""
"Lifecycle version/status","foundation draft","Foundation-stage planning row.","Use for first foundation capability planning.",""
"Lifecycle version/status","v1 draft","V1 planning row not yet final runtime truth.","Use for V1 feature planning.",""
"Lifecycle version/status","active","Current approved source truth.","Use after approval/adoption.",""
"Lifecycle version/status","superseded","No longer current.","Use when replaced by newer matrix/artifact.",""
"Primary proof layer","contract-level","Contract/artifact proof is primary.","Use before runtime work or for API/policy contracts.",""
"Primary proof layer","runtime-api","Runtime API behavior is primary proof.","Use for endpoint behavior and route enforcement.",""
"Primary proof layer","persistence-level","Database/storage behavior is primary proof.","Use for migrations, grants, lifecycle, audit storage, and indexes.",""
"Primary proof layer","browser-rendered","Rendered browser behavior is primary proof.","Use for frontend/UI/design-system rows.",""
"Primary proof layer","source-level","Static source/artifact review is primary proof.","Use for generated artifacts, standards, and traceability rows.",""
"Required test families","unit","Unit tests required.","Use when business logic, validation, mapping, or small pure functions need proof.","Can be combined with semicolons."
"Required test families","integration","Integration tests required.","Use when feature seams, routes, or multiple modules must work together.",""
"Required test families","security","Security/authn/authz tests required.","Use for permissions, tenant boundaries, sensitive data, denial behavior, or assets.",""
"Required test families","audit","Audit behavior tests required.","Use when audit event/proof obligations exist.",""
"Required test families","persistence","Persistence-backed tests required.","Use for schema, migrations, indexes, lifecycle, uniqueness, and durable data behavior.",""
"Required test families","compatibility","Compatibility tests/review required.","Use when existing contracts/routes/data must remain stable.",""
"Required test families","browser","Browser/rendered tests required.","Use for visible UI behavior.",""
"Required test families","performance","Performance/NFR proof required.","Use for hot paths, large exports, list filters, or expensive processing.",""
"Required TC obligation","yes","Specific test-case obligation exists.","Use when PRD-derived TC rows must be implemented or linked.",""
"Required TC obligation","no","No specific TC obligation exists.","Use for lightweight non-material rows.",""
"Required TC obligation","TC obligation: ...","Named obligation description.","Use when the matrix should state exact required proof in plain text.","Controlled prose; keep concise."
"Integration required","yes","Integration wiring/proof required.","Use when feature, route, app, or cross-feature seams must be connected.",""
"Integration required","no","No integration proof required.","Use for isolated docs/static rows.",""
"Integration required","conditional","Depends on selected implementation/adoption.","Use for future planning rows.",""
"Persistence-backed proof required","yes","Tests/proof must use real persistence/schema behavior.","Use for migrations, storage, indexes, uniqueness, lifecycle, grants, and audit storage.",""
