Capability role,Capability area,Capability definition key,Family,Operation,Capability type,Phase,Status,Business goal,User outcome,Primary actor,Capability boundary,Tenant context rule,Authorization posture,Implementation seam,Source baseline,Complementary governance additions,Frontend/page impact,Persistence impact,Validation gates,Compatibility notes,Artifact/test expectations,Acceptance notes
generated_feature_capability_template,managed records,managed_record_list_export,import_export,export,backend or vertical slice,governed entity creation,first draft,Define export of current filtered or selected record lists.,Authorized users can export list projections without bypassing view/filter/privacy rules.,Entity maintainer or authorized business/support actor,tenant or root depending on owning entity,List export must apply the same authz boundary and approved filter context as list/search.,Runtime authz export capability required.,feature_seam plus asset/job seam when file-backed,Schema formalization baseline managed-record capability catalog,Collection views may provide default filter/status scope but do not grant export.,Generated list export action appears only from actionModel and authz.,Persistence/job/asset posture must define selected vs filtered export behavior.,Activation blocks list export without projection privacy and audit rules.,Must not export hidden/restricted fields because they appear in UI or fixture data.,Integration security audit privacy and edge tests required.,Acceptable when list export is deterministic and respects current authorized scope.
generated_feature_capability_template,managed records,managed_record_report_generate,import_export,report_generate,backend,governed entity creation,first draft,Define report generation from managed record data.,Authorized users can generate approved reports from real data with audit/privacy controls.,Entity maintainer or authorized reporting actor,tenant or root depending on owning entity,Report generation must evaluate current context and approved report scope.,Runtime authz reporting capability required.,feature/reporting seam plus job/asset seam as needed,Schema formalization baseline managed-record capability catalog,Starter defaults may suggest common report needs but no report is implied by default.,Generated pages may link report actions only when actionModel approves.,Persistence/reporting/job posture must define data source and retention.,Activation blocks report action without report contract and privacy posture.,Reports over customer data require privacy audit and retention controls.,Integration security audit privacy performance and job tests expected.,Acceptable when report generation is explicit and not confused with definition-report generation.
generated_feature_capability_template,managed records,managed_record_import,import_export,import,backend or vertical slice,governed entity creation,first draft,Define import behavior for managed records.,Authorized users can import records through approved validation dry-run and conflict rules.,Entity maintainer or authorized import actor,tenant or root depending on owning entity,Import must bind to actor context and reject cross-boundary body-derived context.,Runtime authz import capability required.,feature_seam plus upload/job seam when file-backed,Schema formalization baseline managed-record capability catalog,Generated page import action is optional and must be explicitly mapped.,Generated UI may expose import only after asset/upload decision where file-backed.,Persistence must define idempotency conflict and validation behavior.,Activation blocks import without dry-run conflict privacy and asset posture.,File import invokes asset upload/read decision gate and scanning where required.,Integration security audit asset/job idempotency and edge tests required.,Acceptable when import cannot bypass validation ownership or tenant boundaries.
generated_feature_capability_template,relationships,relationship_link,relationship_control,link,backend or vertical slice,governed entity creation,first draft,Define creation of governed relationships between records.,Authorized users can link related records only when boundary cardinality and status rules allow.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Relationship target and source must share approved boundary or explicit cross-boundary approval.,Runtime authz relationship capability required.,feature_seam plus shared relationship validators where approved,Schema formalization baseline relationship capability catalog,Relationship placements and layer navigation may surface link affordances only through actionModel.,Generated drawer/layer controls depend on relationship metadata and actions.,Persistence must define stored reference inverse lookup join entity or computed resolution.,Activation blocks relationship actions when lookup/boundary/lifecycle posture is missing.,Cross-boundary relationships deny by default; lifecycle impacts must be explicit.,Unit integration security audit and edge tests required.,Acceptable when linking is governed and cannot be inferred from arbitrary reference fields.
generated_feature_capability_template,relationships,relationship_unlink,relationship_control,unlink,backend or vertical slice,governed entity creation,first draft,Define detaching governed relationships.,Authorized users can unlink records only when lifecycle and ownership allow detachment.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Detach must evaluate source/target boundary ownership and lifecycle effects.,Runtime authz relationship capability required.,feature_seam,Schema formalization baseline relationship capability catalog,Generated relationship subgroups may expose unlink only via actionModel.,Generated UI must distinguish unlink from delete.,Persistence must define detach behavior and orphan/dependent impact.,Activation blocks unlink without lifecycle impact rules.,Unlinking dependent records may require cleanup/reassign plan.,Unit integration security audit and edge tests required.,Acceptable when unlink behavior is explicit and not destructive by accident.
generated_feature_capability_template,relationships,relationship_move,relationship_control,move,backend or vertical slice,governed entity creation,first draft,Define moving records within governed hierarchy relationships.,Authorized users can move a record to an approved parent/location without cycles or boundary violations.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Move must evaluate current and target context cardinality max depth and cycle rules.,Runtime authz relationship capability required.,feature_seam,Schema formalization baseline relationship capability catalog,Layer selector or hierarchy UI may suggest move only where relationship supports it.,Generated navigation does not imply move capability.,Persistence must define parent reference/join update and integrity checks.,Activation blocks move without cycle/depth/boundary rules.,Moving may be compatibility-sensitive when routes or inherited permissions depend on hierarchy.,Integration security edge and audit tests required.,Acceptable when hierarchy moves preserve boundary and route/permission assumptions.
generated_feature_capability_template,relationships,relationship_reassign,relationship_control,reassign,backend or vertical slice,governed entity creation,first draft,Define replacing a relationship target for dependent records.,Authorized users can reassign dependency to an approved replacement target.,Entity maintainer or owning feature actor,tenant or root depending on owning entity,Reassign must validate replacement target boundary status and lifecycle impact.,Runtime authz relationship capability required.,feature_seam,Schema formalization baseline relationship capability catalog,Generated UI may expose reassign in support/admin flows only when mapped.,No generic generated page should infer reassign from relationship existence.,Persistence must define atomic detach/attach or replacement behavior.,Activation blocks reassign without dependency and failure semantics.,Reassign can affect historical correctness and must preserve durable facts where needed.,Integration security audit and edge tests required.,Acceptable when replacement behavior is explicit and audited.
generated_feature_capability_template,relationships,relationship_validate,relationship_control,validate,backend,governed entity creation,first draft,Validate relationship consistency before activation or mutation.,Maintainers can see boundary cardinality lifecycle and lookup issues before launch.,Entity maintainer,root or tenant planning context depending on registry posture,Validation must use approved source context without granting mutation access.,Runtime authz or design-time validation capability required.,feature_seam or shared validator,Schema formalization baseline relationship capability catalog,Definition validation should include relationship checks before generated page activation.,No direct UI unless validation summary is surfaced.,No mutation; reads relationship definition/source evidence.,Draft/review/activation validation must report relationship blockers.,Must stay side-effect free and deterministic.,Unit integration and validation fixture tests required.,Acceptable when relationship issues are visible before generation or activation.
entity_builder_platform_capability,collection views,collection_view_list,collection_view,list_views,backend or design-time,governed entity creation,first draft,List governed collection views for an entity definition or runtime-managed entity.,Maintainers and generated pages can resolve approved views without inventing tabs.,Entity maintainer or generated page runtime,root or tenant depending on owning entity,View list resolves in current actor/context but does not grant record access.,Authz required for runtime; design-time registry validation for drafts.,definition_registry_seam or feature_seam,Schema formalization complementary collection-view capability catalog,Role/job/status discovery and starter defaults feed view definitions.,Generated view selector consumes this when two or more eligible views exist.,Persistence may be definition-owned in v1; runtime saved views deferred.,Validation requires role vocabulary status/sub-status keys default uniqueness and overlap rules.,Views are metadata; removing visible views is compatibility-sensitive.,Unit validation security and frontend tests expected when selector exists.,Acceptable when page tabs come from governed views only.
entity_builder_platform_capability,collection views,collection_view_read,collection_view,read_view,backend or design-time,governed entity creation,first draft,Read one governed collection view and its membership.,Generated pages can resolve active view status membership and default behavior.,Entity maintainer or generated page runtime,root or tenant depending on owning entity,Read view context must not bypass record authorization.,Authz required for runtime; design-time registry validation for drafts.,definition_registry_seam or feature_seam,Schema formalization complementary collection-view capability catalog,Active view constrains status bar counts filters and visible status membership.,Generated status bar depends on selected collection view.,Definition-owned persistence in v1; runtime-managed views deferred.,Validation requires all referenced statuses/sub-statuses exist.,View read does not imply list/read access to underlying records.,Unit validation and frontend behavior tests expected.,Acceptable when active view behavior is deterministic and safe.
entity_builder_platform_capability,collection views,collection_view_create,collection_view,create_view,design-time or backend,governed entity creation,first draft,Create a governed collection view from role/status needs.,Customers can add a useful view without inventing page-local tabs.,Entity maintainer,root or definition authoring context first; tenant/customer authoring later explicit,Authoring context must be explicit and separate from runtime record access.,Definition authoring authz required.,definition_registry_seam,Schema formalization complementary collection-view capability catalog,Starter defaults and customer-specified workflows may create draft views before activation.,Generated page may preview new view before promotion.,Definition persistence must store view key labels roles statuses sub-statuses default posture and evidence.,Draft save and activation validation enforce view rules.,Runtime-managed customer-created views deferred unless explicitly approved.,Unit validation security and audit/evidence tests expected.,Acceptable when created views are governed and editable before activation.
entity_builder_platform_capability,collection views,collection_view_update,collection_view,update_view,design-time or backend,governed entity creation,first draft,Update a governed collection view safely.,Customers can rename reorder or adjust view membership before activation or through approved revisions.,Entity maintainer,root or definition authoring context first; tenant/customer authoring later explicit,Update must preserve audit/evidence and not grant record access.,Definition authoring authz required.,definition_registry_seam,Schema formalization complementary collection-view capability catalog,Customers can edit starter defaults; accepted defaults and edits carry evidence posture.,Generated page preview updates after view changes.,Definition persistence mutates draft or creates replacement version when active.,Activation validates default uniqueness overlap role/status references and page impact.,Removing/changing promoted views is compatibility-sensitive.,Unit validation audit/evidence and frontend regression tests expected.,Acceptable when view edits recalculate page readiness and cannot silently break promoted pages.
entity_builder_platform_capability,collection views,collection_view_archive,collection_view,archive_view,design-time or backend,governed entity creation,first draft,Archive a governed collection view while preserving history.,Maintainers can remove a view from normal surfaces without deleting historical truth.,Entity maintainer,root or definition authoring context first,Archive must not change record access or mutate historical active definitions in place.,Definition authoring authz required.,definition_registry_seam,Schema formalization complementary collection-view capability catalog,Archived views should disappear from generated normal selectors unless explicit historical/support context.,Generated page promotion/demotion must account for archived views.,Definition persistence must preserve archived view metadata/evidence.,Activation blocks if archived default leaves role without required default view.,Archiving promoted views requires compatibility and communication strategy.,Unit validation audit and frontend tests expected.,Acceptable when archived views are retained and normal generated surfaces stay coherent.
entity_builder_platform_capability,collection views,collection_view_delete,collection_view,delete_view,design-time or backend,governed entity creation,first draft,Delete a governed collection view only when compatibility allows.,Maintainers can remove erroneous draft-only views without preserving unnecessary clutter.,Entity maintainer,root or definition authoring context first,Delete only for draft/non-promoted views or explicit approved cleanup.,Definition authoring authz required and likely blocked by default.,definition_registry_seam,Schema formalization complementary collection-view capability catalog,Deletion is not the normal path once views are promoted; archive is preferred.,Generated surfaces must be recalculated after deletion.,Definition persistence may delete draft-only view records before activation.,Validation blocks delete when routes saved states audits exports or generated surfaces depend on the view.,Compatibility-sensitive by default; archive preferred.,Unit validation and audit tests required.,Acceptable when delete is limited to safe draft cleanup or explicitly approved migration.
entity_builder_platform_capability,collection views,collection_view_validate,collection_view,validate_view,design-time or backend,governed entity creation,first draft,Validate collection views before activation and page generation.,Maintainers see role/status/default/view-selector blockers before launch.,Entity maintainer,root or definition authoring context first,Validation is read-only and grants no runtime access.,Definition validation capability required.,definition_registry_seam plus design_system/topology validation,Schema formalization complementary collection-view capability catalog,Supports default-first/edit-later workflow and blocks invalid promoted pages.,No direct page except validation summary.,No mutation; reads definition view/status/role/template evidence.,Draft review activation and export gates must include view validation.,Must ensure generated pages cannot invent views when validation fails.,Unit validation and fixture tests required.,Acceptable when every generated view is backed by valid role/status/template evidence.
entity_builder_platform_capability,definition lifecycle,definition_propose,authoring,propose_definition,backend or vertical slice,governed entity creation,first draft,Start a governed entity definition draft from human LLM or source inputs.,A maintainer can begin entity creation with section-complete draft posture.,Entity maintainer/root operator initially,root first; future tenant/customer authoring requires explicit approval,No tenant-scoped implementation until authority model is approved.,Entity-builder create/update authz required initially.,definition_registry_seam,Schema formalization baseline definition capability catalog,Guided creation role discovery starter defaults app placement access/promotion feed draft.,Frontend authoring UI future; current planning may be backend/design-time first.,Persistence must create draft lineage/version or draft proposal record preserving evidence.,Draft save validation requires all sections present with explicit missing/default posture.,Must preserve existing entityBuilder v1 compatibility and not silently change export v1.,PRD test cases API contract feature docs standards review required.,Acceptable when a draft captures complete structure without requiring every answer to be final.
entity_builder_platform_capability,definition lifecycle,definition_validate,governance_approval,validate_definition,backend,governed entity creation,first draft,Validate a governed entity definition before review activation export or page generation.,Maintainers receive blocking issues warnings and readiness summaries.,Entity maintainer/root operator initially,root first; future tenant/customer authoring explicit,Validation must not mutate definitions or grant runtime access.,Entity-builder validate authz required initially.,definition_registry_seam,Schema formalization baseline definition capability catalog,Validation includes collection views page materialization staged visibility and access boundary checks.,Validation summary may be surfaced in authoring UI later.,No mutation; reads schema catalogs hierarchy/template/access evidence.,Draft review activation export and materialization gates depend on validation.,Must keep validation side-effect free and version-aware.,Unit integration security audit/evidence tests required.,Acceptable when validation honestly reports what blocks activation/page rollout.
entity_builder_platform_capability,definition lifecycle,definition_update,authoring,update_definition,backend or vertical slice,governed entity creation,first draft,Update draft definition metadata and sections safely.,Maintainers can refine the definition without mutating active historical truth.,Entity maintainer/root operator initially,root first; future tenant/customer authoring explicit,Update must target schema paths and preserve source/evidence posture.,Entity-builder update authz required initially.,definition_registry_seam,Schema formalization baseline definition capability catalog,Includes updates from starter default edits views app placement access and promotion plans.,Authoring UI future; generated pages recalculate preview after edits.,Persistence mutates draft only or creates replacement for active definitions.,Validation runs per affected section and recalculates page readiness.,Active definitions require version/replacement not silent mutation.,Unit integration audit/evidence and edge tests required.,Acceptable when updates are structured and freeform edits cannot bypass validation.
entity_builder_platform_capability,definition lifecycle,definition_version,lifecycle,version_definition,backend,governed entity creation,first draft,Create a replacement version while preserving historical entity truth.,Maintainers can evolve active definitions without losing prior behavior/evidence.,Entity maintainer/root operator initially,root first; future tenant/customer authoring explicit,Versioning must preserve entity lineage and historical access/page behavior evidence.,Entity-builder create/update lifecycle authz required initially.,definition_registry_seam,Schema formalization baseline definition capability catalog,Needed when changing promoted collection views routes statuses fields or access posture.,Generated page materialization references exact definition version.,Persistence creates immutable replacement version under stable entity key.,Validation must classify compatibility risks before activation.,Route/view/status changes may require migration/promotion plan.,Integration audit compatibility and regression tests required.,Acceptable when historical definitions remain reconstructable.
entity_builder_platform_capability,definition lifecycle,definition_activate,lifecycle,activate_definition,backend,governed entity creation,first draft,Activate a validated entity definition version as current truth.,Maintainers can promote a definition only after required gates pass.,Entity maintainer/root operator initially,root first; future tenant/customer authoring explicit,Activation does not automatically grant runtime access or page visibility unless promotion rules say so.,Entity-builder activate/update authz required initially.,definition_registry_seam,Schema formalization baseline definition capability catalog,Activation includes checks for views page readiness access/promotion and starter-default evidence.,May trigger/enable page materialization preview/apply but promotion remains separate.,Persistence marks one active version per lineage and supersedes prior version safely.,Activation validation must pass or explicitly block generation surfaces.,Must not silently change export v1 consumers or promoted routes.,Integration security audit compatibility and export tests required.,Acceptable when activation is explicit version-safe and separate from page promotion.
entity_builder_platform_capability,definition lifecycle,definition_supersede,lifecycle,supersede_definition,backend,governed entity creation,first draft,Supersede an older active definition with a newer active version.,Maintainers can preserve historical truth while moving current behavior forward.,Entity maintainer/root operator initially,root first,One active version per lineage; prior version remains readable/exportable.,Entity-builder lifecycle authz required initially.,definition_registry_seam,Schema formalization baseline definition capability catalog,Supersession may carry page/view/access migration notes.,Generated pages should reference active or explicitly selected version.,Persistence updates current/superseded posture without mutating historical content.,Validation ensures replacement is activation-ready and compatibility classified.,Downstream generated artifacts need refresh/staleness evidence.,Integration audit export and generated artifact tests required.,Acceptable when supersession preserves history and marks downstream refresh needs.
entity_builder_platform_capability,definition lifecycle,definition_archive,lifecycle,archive_definition,backend,governed entity creation,first draft,Archive retained definition versions or lineages when allowed.,Maintainers can remove obsolete definitions from normal selection while retaining history.,Entity maintainer/root operator initially,root first,Archive does not delete generated page/history without separate materialization cleanup.,Entity-builder lifecycle authz required initially.,definition_registry_seam,Schema formalization baseline definition capability catalog,Archived definitions should not drive normal generated pages unless explicitly historical/support.,Page demotion/rollback may be required before archive.,Persistence marks archived posture and preserves read/export historical capability.,Validation blocks archive when active generated page depends on the definition without replacement plan.,Compatibility-sensitive if routes/docs/generated artifacts depend on it.,Audit compatibility and export tests required.,Acceptable when archive cannot orphan active pages or erase historical truth.
entity_builder_platform_capability,definition lifecycle,definition_export_v2,import_export,export_definition,backend,governed entity creation,first draft,Export full canonical governed entity definition without changing export v1.,Downstream planning can consume rich v2 definition truth explicitly.,Entity maintainer/root operator initially,root first,Export is privileged planning/registry data; runtime record access unaffected.,Entity-builder export authz plus v2 posture required.,definition_registry_seam,Schema formalization baseline definition capability catalog,Export includes views starter evidence routing topology page materialization and access/promotion posture.,No direct page except export/download UI later.,Reads persisted definition and emits derived v2 export/read shape.,Export validation ensures format version explicit and incomplete blockers visible.,Must preserve existing entityBuilder export v1 compatibility.,Unit integration export compatibility and snapshot tests required.,Acceptable when v2 is explicit deterministic and separate from v1.
entity_builder_platform_capability,definition structure,definition_attribute_add,authoring,add_attribute,backend or vertical slice,governed entity creation,first draft,Add a complete governed attribute to a draft/replacement definition.,Maintainers can add durable facts with validation search placement and compliance posture.,Entity maintainer,root first; future tenant/customer authoring explicit,Attribute add must respect owning entity context and system-managed rules.,Definition authoring authz required.,definition_registry_seam,Schema formalization baseline definition-structure capability catalog,Starter/default workflow may recommend attributes but customer can edit before activation.,Generated pages may place new attributes only via approved placements/template contracts.,Definition persistence adds attribute metadata/evidence in draft version.,Validation checks type cardinality mutability validation options search privacy placements.,Adding required fields to existing records may be compatibility-sensitive.,Unit validation compatibility and frontend placement tests expected.,Acceptable when added attributes are section-complete and not page-local inventions.
entity_builder_platform_capability,definition structure,definition_attribute_edit,authoring,edit_attribute,backend or vertical slice,governed entity creation,first draft,Edit governed attribute metadata safely.,Maintainers can refine field labels validation placement mutability or compliance posture.,Entity maintainer,root first; future tenant/customer authoring explicit,Edit must preserve durable domain facts and active version history.,Definition authoring authz required.,definition_registry_seam,Schema formalization baseline definition-structure capability catalog,Field edits may affect generated page display identity views filters and actions.,Generated pages recalculate preview and compatibility risks after edits.,Definition persistence mutates draft or versions active definitions.,Validation checks changed section compatibility and generated page readiness.,Changing type/key/required/searchability may be breaking and needs migration strategy.,Unit integration compatibility and frontend tests expected.,Acceptable when edits are explicit and no active truth mutates silently.
entity_builder_platform_capability,definition structure,definition_attribute_remove,authoring,remove_attribute,backend or vertical slice,governed entity creation,first draft,Remove an attribute only when compatibility rules allow.,Maintainers can clean draft definitions or plan safe removal from active definitions.,Entity maintainer,root first; future tenant/customer authoring explicit,Removal must not drop durable facts still needed for behavior audit billing reporting or history.,Definition authoring authz required.,definition_registry_seam,Schema formalization baseline definition-structure capability catalog,Removing display identity/filter/status fields may block generated page readiness.,Generated pages must recalculate placements groups views and filters.,Definition persistence deletes draft-only or versions active definitions with migration notes.,Validation blocks removal when dependencies or durable-data rules fail.,Breaking by default for active/persisted entities unless migration/compatibility plan exists.,Compatibility unit integration and artifact tests required.,Acceptable when removal cannot erase needed durable truth or break generated surfaces silently.
entity_builder_platform_capability,definition structure,definition_validation_rule_edit,authoring,edit_validation_rule,backend or vertical slice,governed entity creation,first draft,Edit validation rules using approved rule catalogs.,Maintainers can tighten or adjust input rules with type-compatible messages.,Entity maintainer,root first; future tenant/customer authoring explicit,Validation rule edits must apply in owning entity context and preserve compatibility.,Definition authoring authz required.,definition_registry_seam,Schema formalization baseline definition-structure capability catalog,Starter defaults may propose validation but activation requires catalog-compatible rules.,Generated forms consume validation rules through approved UI behavior.,Definition persistence stores rule keys arguments messages and evidence.,Validation checks rule/type/cardinality/message compatibility.,Tightening validation on existing data may require migration/backfill plan.,Unit integration edge and frontend validation tests expected.,Acceptable when validation is catalog-driven and version-aware.
entity_builder_platform_capability,definition structure,definition_relationship_edit,relationship_control,edit_relationship,backend or vertical slice,governed entity creation,first draft,Edit relationship definitions with boundary and lifecycle controls.,Maintainers can define how entities connect without ad hoc cross-feature coupling.,Entity maintainer,root first; future tenant/customer authoring explicit,Relationship edits must respect tenant/root boundary and owning feature seams.,Definition authoring authz required.,definition_registry_seam,Schema formalization baseline definition-structure capability catalog,Relationship metadata drives layer selector drawer subgroups options and actions.,Generated pages use relationships only through approved placements/actions.,Definition persistence stores relationship key target resolution boundary lifecycle evidence.,Validation checks target entity lookup recipe ownership navigation and lifecycle impact.,New cross-feature seams require manifests dependency graph and architecture updates.,Unit integration security compatibility and artifact tests required.,Acceptable when relationships are explicit and anti-drift boundaries are preserved.
